dedup_id,title,authors,first_author,first_author_lastname,year,published_date,summary,doi,arxiv_id,journal_ref,source,relevance,category,sub_tags,url,arxiv_url,source_query
doi:10.1109/LWC.2026.3651641,Semantic-Driven Multi-UAV Cooperative Communication With Joint Positioning and Resource Allocation,Wanli Wen; Weiran Guo; Liang Liang; Yunjian Jia,Wanli Wen,Wen,,,"Semantic communication represents a new paradigm for sixth-generation wireless networks that prioritizes meaning-centric transmission. Uncrewed aerial vehicles (UAVs) provide deployment flexibility and line-of-sight connectivity for coverage. The integration of these technologies presents challenges in the optimization of UAV deployment, radio resources, and semantic content fidelity. This letter proposes a framework for multi-UAV-enabled semantic communication that uses coordinated multipoint transmission. We formulate a problem to maximize the sum Quality of Experience (QoE) of all users by optimizing UAV positioning, cooperative beamforming, and semantic compression ratios, which results in a mixed-integer nonlinear programming problem. To solve this problem, we develop a hybrid alternating learning and optimization (HALO) algorithm. HALO decomposes the problem, using proximal policy optimization for discrete semantic compression decisions and an alternating optimization method for ",10.1109/LWC.2026.3651641,,IEEE Wireless Communications Letters,Semantic Scholar,high,UAV-Semantic-Communication,uav semantic communication,https://doi.org/10.1109/LWC.2026.3651641,,UAV semantic communication cooperative
doi:10.1109/WCSP68525.2025.1010529,Joint Delay and Energy Optimization in MEC-Enabled Multi-UAV Semantic Communication Systems,Shihang Zhang; Haibo Dai; Haitao Zhao,Shihang Zhang,Zhang,2025,2025-10-23,"With the rapid development of the low-altitude economy, multi-UAV systems integrating semantic communication and mobile edge computing (MEC) have emerged as a promising solution for urban intelligence tasks. By extracting local semantic information and offloading the processed data to MEC servers, these systems enable low latency and low overhead communication. However, semantic processing introduces additional computational burdens, increasing the complexity of joint mobility control and resource scheduling. In such scenarios, the dynamic and computationally intensive environment places higher demands on UAV coordination and resource management. Performing effective orchestration of UAV trajectories, energy consumption, and latency has become a critical challenge. To address the issues of excessive delay and energy consumption, this paper proposes a federated deep reinforcement learning framework with a hybrid action space to jointly optimize UAV mobility control and resource allocati",10.1109/WCSP68525.2025.1010529,,2025 Seventeenth International Conference on Wireless Communications and Signal Processing (WCSP),Semantic Scholar,high,UAV-Semantic-Communication,uav semantic communication,https://doi.org/10.1109/WCSP68525.2025.1010529,,UAV semantic communication cooperative
doi:10.1139/dsa-2024-0049,Optimization Research on UAV Semantic Communication System Based on SVD-MADRL,Yibo Yang; Yahe Tan; Liu Liu,Yibo Yang,Yang,2025,2025-04-28,"The study optimizes the flight trajectory and power of multiple unmanned aerial vehicles with the deep deterministic policy gradient algorithm, and constructs a multi-unmanned aerial vehicle semantic communication optimization model based on singular value decomposition and multi-agent deep reinforcement learning. The results show that the relay system developed in this study is better than traditional algorithms in terms of coverage and flight path, with a coverage rate of up to 90%. Moreover, the energy consumption of the model to complete task transmission is only 2835 joules, and the delay time is only 15 seconds. In addition, compared with traditional algorithms, the semantic communication optimization model constructed in this study performs the best in terms of total reward, data collection efficiency, and accuracy. It has strong stability and convergence ability, with an accuracy close to 1, significantly improving the accuracy and efficiency of unmanned aerial vehicle communic",10.1139/dsa-2024-0049,,Drone Systems and Applications,Semantic Scholar,high,Multi-Agent-Coordination,uav semantic communication; uav trajectory optimization multi-agent; multi-agent reinforcement learning uav coverage,https://doi.org/10.1139/dsa-2024-0049,,UAV semantic communication cooperative
doi:10.1109/TCOMM.2025.3552303,Resource Allocation for Multi-Modal Semantic Communication in UAV Collaborative Networks,Han Hu; Xingwu Zhu; Fuhui Zhou; Wei Wu; Rose Qingyang Hu; Hongbo Zhu,Han Hu,Hu,2025,2025-09-01,"Semantic communication is envisioned as a potential communication paradigm enabled by artificial intelligence and is promising to break the Shannon limit for future 6G networks. This paradigm benefits uninhabited aerial vehicles (UAVs) to conserve communication resources and minimize latency by only transmitting task-relevant semantic information. However, resource allocation in the multiple collaborative UAV scenarios remains unexplored, particularly regarding multi-modal semantic communication. To tackle this challenge, this paper investigates a semantic-aware intelligent resource allocation method for multi-UAV-assisted semantic communication networks in the UAV image-sensing task-oriented scenario. A multi-modal semantic communication framework with multi-UAV relay collaboration is developed. At the semantic level, a novel quality of experience (QoE) and the transmission cost model are introduced, based on which a semantic-aware resource allocation problem is formulated, aiming to ",10.1109/TCOMM.2025.3552303,,IEEE Transactions on Communications,Semantic Scholar,high,UAV-Semantic-Communication,uav semantic communication; uav task-oriented semantic; task-oriented image transmission uav; multi-modal semantic communication uav,https://doi.org/10.1109/TCOMM.2025.3552303,,UAV semantic communication cooperative
doi:10.1109/ICCC65529.2025.11148643,Task-Oriented Semantic Communication System for Maritime Patrol Surveillance,Jiaxue Li; Bin Lin; Xiaoling Han; Xingao Mei; Wei Xiong,Jiaxue Li,Li,2025,2025-08-10,"The rapid development of the shipping industry has propelled the diversified development of maritime patrol surveillance, where unmanned surface vehicle (USV) is tasked with performing autonomous and long-duration patrol missions. However, traditional communication frameworks struggle to process multimodal data, enable real-time decision-making, and meet the demands of dynamic maritime environments. To address these issues, we propose a Visual Question-Answering Maritime Semantic Communication System (VQA-MSCS), a task-oriented semantic communication framework. It integrates semantic communication to optimize operational efficiency. Specifically, real-time maritime imagery is captured and transmitted by an unmanned aerial vehicle (UAV), while text-based queries are formulated by a patrol USV based on mission requirements. The computational UAV (C-UAV) performs multimodal semantic analysis, aligning and interpreting the visual and textual data to generate precise answers that are sent b",10.1109/ICCC65529.2025.11148643,,2025 IEEE/CIC International Conference on Communications in China (ICCC),Semantic Scholar,high,UAV-Semantic-Communication,uav semantic communication; uav task-oriented semantic,https://doi.org/10.1109/ICCC65529.2025.11148643,,UAV task-oriented communication drone
doi:10.1109/GLOBECOM59602.2025.11432633,Semantic Communication for UAV-Enabled Multi-Modal Task Offloading in Low-Altitude Intelligent Networks,Changyuan Xu; Helin Yang; Cheng Zhan; Xiangda Lin,Changyuan Xu,Xu,2025,2025-12-08,"The integration of mobile edge computing (MEC) with semantic communication (SemCom) has emerged as a promising solution to address the growing demand for computing services. However, challenges remain in balancing task delay and energy consumption for unmanned aerial vehicles (UAVs) providing dynamic edge services, as the diversity of tasks complicates offloading and resource allocation. This paper investigates a multi-modal task offloading problem for Task-Oriented SemCom (TOSC)-based low-altitude MEC networks. We aim to minimize the weighted sum of ground devices’ average task delay and UAV’s energy consumption by jointly optimizing task offloading indicators, as well as the three-dimensional (3D) trajectory and computing resources of the UAV. To solve the formulated nonconvex optimization problem, which involves discrete and continuous variables, we propose an exact Penalty-based Alternative and soft Penalty-based Proximal Policy Optimization (PA-P3O) algorithm. Specifically, we dev",10.1109/GLOBECOM59602.2025.11432633,,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,Semantic Scholar,high,UAV-Semantic-Communication,uav semantic communication; uav task-oriented semantic; uav resource allocation trajectory optimization; multi-modal semantic communication uav,https://doi.org/10.1109/GLOBECOM59602.2025.11432633,,UAV task-oriented communication drone
doi:10.62306/d54q8p10,Multimodal Large Models-Driven Precise Perception in Complex Low-Altitude UAV Environments: A Survey on Adaptive Edge Intelligence and Swarm Collaboration,Chenchen He; Dongran Sun; Xuexue Zhang,Chenchen He,He,2025,2025-12-20,"Unmanned aerial vehicles (UAVs) equipped with long-endurance remote sensing capabilities have revolutionized applications in economic development, national defense, emergency response, and disaster monitoring. However, traditional centralized processing paradigms suffer from high latency, resource inefficiency, and poor adaptability to dynamic low-altitude environments. This survey reviews advancements in multimodal large models (MLMs) for precise detection and perception in complex low-altitude scenarios, emphasizing three core challenges: enhancing intelligent terminal perception for adaptive learning, bolstering multi-UAV collaborative coverage through federated evolution, and achieving high-fidelity 3D perception via multimodal fusion. We synthesize recent developments in self-evolving online learning frameworks, asynchronous distributed federated optimization, and Transformer-based MLMs tailored for heterogeneous sensor data (e.g., LiDAR and multi-view cameras). Key contributions ",10.62306/d54q8p10,,Digital Science,Semantic Scholar,high,Uncategorized,,https://doi.org/10.62306/d54q8p10,,multi-UAV collaborative perception edge
doi:10.1109/ISPA67752.2025.00045,Generative AI-Enhanced Energy-Efficient Multi-UAV Collaborative Mobile Edge Computing,Hu He; Jun Peng; Lin Cai; Weirong Liu; Zhiwu Huang,Hu He,He,2025,2025-10-10,"Mobile edge computing (MEC) has emerged as a key enabler for low-latency and computation-intensive applications. However, conventional terrestrial MEC networks face challenges in coverage, scalability, and dynamic environments. To address these limitations, this paper explores unmanned aerial vehicle (UAV)-assisted MEC, leveraging the mobility and flexibility of UAVs to enhance edge computing performance. However, challenges such as dynamic mobile user association, multi-UAV collaborative trajectory design, and limited communication and computation resources remain significant hurdles. We then formulate a joint optimization problem for user association, trajectory design, and resource allocation for the multi-UAV collaborative MEC network, aiming to minimize system cost considering computation task demands and UAV resource constraints. The problem, modeled as a Mixed Integer NonLinear Program (MINLP), is reformulated as a decentralized partially observable Markov decision process (Dec-",10.1109/ISPA67752.2025.00045,,2025 IEEE International Symposium on Parallel and Distributed Processing with Applications (ISPA),Semantic Scholar,high,UAV-Resource-Allocation,uav resource allocation trajectory optimization; uav energy-efficient resource allocation,https://doi.org/10.1109/ISPA67752.2025.00045,,multi-UAV collaborative perception edge
doi:10.48550/arXiv.2510.06901,Adaptive Semantic Communication for UAV/UGV Cooperative Path Planning,Fangzhou Zhao; Yao Sun; Jianglin Lan; Lan Zhang; Xuesong Liu; Muhammad Ali Imran,Fangzhou Zhao,Zhao,2025,2025-10-08,"Effective path planning is fundamental to the coordination of unmanned aerial vehicles (UAVs) and unmanned ground vehicles (UGVs) systems, particularly in applications such as surveillance, navigation, and emergency response. Combining UAVs'broad field of view with UGVs'ground-level operational capability greatly improve the likelihood of successfully achieving task objectives such as locating victims, monitoring target areas, or navigating hazardous terrain. In complex environments, UAVs need to provide precise environmental perception information for UGVs to optimize their routing policy. However, due to severe interference and non-line-of-sight conditions, wireless communication is often unstable in such complex environments, making it difficult to support timely and accurate path planning for UAV-UGV coordination. To this end, this paper proposes a semantic communication (SemCom) framework to enhance UAV/UGV cooperative path planning under unreliable wireless conditions. Unlike tra",10.48550/arXiv.2510.06901,2510.06901,ArXiv,Semantic Scholar,medium,UAV-Semantic-Communication,uav semantic communication,https://arxiv.org/abs/2510.06901,https://arxiv.org/abs/2510.06901,UAV semantic communication cooperative
doi:10.1109/ICCCS65393.2025.11069451,Semantic Communication Assisted Cooperative Sensing in UAV Networks,Yu Deng; Supeng Leng; Ke Zhang; Jian He; Longyu Zhou; Tony Q. S. Quek,Yu Deng,Deng,2025,2025-04-18,"Cooperative sensing and computing are crucial for high-efficiency task completion in numerous Unmanned Aerial Vehicle (UAV) networks-based sensing applications. However, the frequent data exchange among UAVs strains communication bandwidth resources. This challenge can be further exacerbated in low signal-to-interference-plus-noise ratio (SINR) environments. Semantic communication, by extracting and transmitting task-relevant semantic information rather than raw bit streams, offers a novel approach to mitigate these issues by significantly reducing the transmission data volume while enhancing the system's robustness against noise-induced distortions. In this paper, we propose a cooperative sensing semantic communication framework with a variable semantic compression ratio in the scenario of UAVs-based multi-target cooperative sensing. We then design a resource scheduling strategy in order to efficiently integrate the limited resources of the UAVs to simultaneously enhance sensing accur",10.1109/ICCCS65393.2025.11069451,,2025 10th International Conference on Computer and Communication System (ICCCS),Semantic Scholar,medium,UAV-Semantic-Communication,uav semantic communication,https://doi.org/10.1109/ICCCS65393.2025.11069451,,UAV semantic communication cooperative
